Protein	wbc	BETA	LOG10P	i	j
CCL24	neutro	-0.0146916653468164	0.00337155049453553	1	8
CXCL1	neutro	0.0292245985322625	0.0159128705285115	1	15
CXCL16	neutro	-0.0438850257184954	0.000207899076102804	1	17
CXCL8	neutro	0.0807589436055593	0.0135036227939825	1	19
IL17C	neutro	-0.0778671462590132	0.000152026354329954	1	22
TNFSF13	neutro	0.0248526176759757	0.00118910310271854	1	25
TNFSF13B	neutro	-0.0669058299356247	1.91039159261486e-13	1	26
CCL2	mono	-0.239799570508232	5.89382520243644e-12	2	6
IL17C	mono	0.0584336647183228	0.0120645552588184	2	22
TNFSF13B	mono	-0.151913169274956	3.77810290448078e-72	2	26
CCL2	lymph	-0.10698999325421	0.032277057745047	3	6
CXCL16	lymph	-0.114298343476759	0.000105074457264088	3	17
IL10	lymph	0.10417555536593	5.17121275212348e-07	3	21
TNFSF13B	lymph	-0.0412422963465742	0.0380681176840861	3	26
CXCL6	neutro	0.0945732369203546	4.40078251713595e-16	1	18
CXCL6	mono	0.0133843090187714	0.0253050980076909	2	18
