Protein	OlinkID	Directory	N	Chr	Strand	TSS
CCL11	OID20668	CCL11_P51671_OID20668_v1_Inflammation	34049	17	Plus	34285742
CCL13	OID20655	CCL13_Q99616_OID20655_v1_Inflammation	33980	17	Plus	34356480
CCL14	OID20401	CCL14_Q16627_OID20401_v1_Cardiometabolic	33541	17	Minus		35987004
CCL17	OID20745	CCL17_Q92583_OID20745_v1_Inflammation	33586	16	Plus	57404767
CCL19	OID21030	CCL19_Q99731_OID21030_v1_Neurology	33962	9	Minus	34691276
CCL2	OID21004	CCL2_P13500_OID21004_v1_Neurology	33372	17	Plus	34255218
CCL21	OID20686	CCL21_O00585_OID20686_v1_Inflammation	33848	9	Minus	34710136
CCL24	OID20772	CCL24_O00175_OID20772_v1_Inflammation	33784	7	Minus	75823356
CCL26	OID20546	CCL26_Q9Y258_OID20546_v1_Inflammation	33657	7	Minus	75789896
CCL3	OID20610	CCL3_P10147_OID20610_v1_Inflammation	33657	17	Minus	36090169
CCL4	OID20695	CCL4_P13236_OID20695_v1_Inflammation	33719	17	Plus	36103827
CCL7	OID20523	CCL7_P80098_OID20523_v1_Inflammation	33657	17	Plus	34270221
CCL8	OID21466	CCL8_P80075_OID21466_v1_Oncology	33908	17	Plus	34319435
CX3CL1	OID20976	CX3CL1_P78423_OID20976_v1_Neurology	33436	16	Plus	57372477
CXCL1	OID20762	CXCL1_P09341_OID20762_v1_Inflammation	33650	4	Plus	73869393
CXCL10	OID20697	CXCL10_P02778_OID20697_v1_Inflammation	33848	4	Minus	76023497
CXCL16	OID20282	CXCL16_Q9H2A7_OID20282_v1_Cardiometabolic	34023	17	Minus	4739928
CXCL6	OID20613	CXCL6_P80162_OID20613_v1_Inflammation	34049	4	Plus	73836640
CXCL8	OID21430	CXCL8_P10145_OID21430_v1_Oncology	33451	4	Plus	73740541
FASLG	OID20665	FASLG_P48023_OID20665_v1_Inflammation	34049	1	Plus	172659103
IL10	OID20431	IL10_P22301_OID20431_v1_Inflammation	33084	1	Minus	206774541
IL17C	OID20477	IL17C_Q9P0M4_OID20477_v1_Inflammation	33084	16	Plus	88638572
TNFSF10	OID20611	TNFSF10_P50591_OID20611_v1_Inflammation	34049	3	Minus	172523475
TNFSF11	OID20592	TNFSF11_O14788_OID20592_v1_Inflammation	33657	13	Plus	42562736
TNFSF13	OID20733	TNFSF13_O75888_OID20733_v1_Inflammation	33848	17	Plus	7558292
TNFSF13B	OID20272	TNFSF13B_Q9Y275_OID20272_v1_Cardiometabolic	34023	13	Plus	108251240
XCL1	OID21398	XCL1_P47992_OID21398_v1_Oncology	33966	1	Plus	168576605
IL6	OID21276	IL6_P05231_OID21276_v1_Oncology	33533	7	Plus	22725884
